geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.4840766322,-99.0979827502",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3809650541,-99.1373113251",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.3139677776,-99.1267177657",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3905750675,-99.144452701",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.4805160579,-99.2019284401",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3774270257,-99.0402298177",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3253349527,-99.0596817559",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3316692341,-99.0636281599",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.361365307,-99.0376967811",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2208697869,-98.9702836558",Hidrometeorológicos,Inundaciones,Alto,Tláhuac,4.0
"19.3478519951,-99.1349664665",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.2569441391,-99.052578288",Geológicos,Sísmico,Alto,Xochimilco,4.0
"19.2605611682,-99.0337241161",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.3342670441,-99.0840288506",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2948004811,-99.0380209762",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.3474991084,-99.0043421422",Socio Organizativo,N/D,Muy Alto,Iztapalapa,5.0
"19.3136231859,-99.0755628125",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3457610108,-99.0347656931",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2969909092,-99.1042985486",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.3253349527,-99.0596817559",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.3887876804,-99.0697048471",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3693513688,-99.1336521064",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2584622354,-99.1206817076",Hidrometeorológicos,Inundaciones,Muy Alto,Xochimilco,5.0
"19.2790650226,-99.0064241974",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.297191845,-99.1126351984",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.5011572675,-99.0984317478",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4646076164,-99.1257605004",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4574378388,-99.0864179933",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4654545263,-99.1802510375",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.242566309,-99.1676853074",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.3419029316,-99.1751086769",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.2940477397,-99.2224394405",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.4540838018,-99.0978630178",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
